Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
Vegetarian club sandwich,1 serving,,198.33,5.45,11.33,2.06,19.68,2.08,305.36,122.44,0.77,6,17.53
Vegetarian egg kofta curry,1 serving,,627.41,1.33,67.24,0.64,4.26,1.19,95.89,28.39,0.39,35.58,67.83
Vegetarian nargisi kofta curry,1 serving,,332.15,2.29,32.94,0.86,6.58,1.65,73.56,47.09,0.38,27.25,57.94
Vegeterian scotch egg,1 serving,,681.67,2.16,72.77,0.58,4.64,0.23,93.33,15.2,0.46,12.53,32.4
Vermicelli kheer (Semiya/Seviyan ki kheer),1 serving,,120.07,3.35,5,0.5,15.87,12.79,22.52,104.8,0.3,4.06,16.29
Vermicelli porridge (Semiya/Seviyan porridge),1 serving,,78.4,2.5,2.98,0.48,10.56,7.04,65.33,72.96,0.2,4.82,19.51
Vermicelli upma (Semiya/Seviyan upma),1 serving,,149.11,3.11,7.45,3.21,16.88,1.4,101.8,20.3,0.93,4.64,12.64
Victorian sandwich cake,1 serving,,373.09,5.18,19.83,0.59,44.74,28.18,145.28,36.25,0.86,0.08,8.66
Waffles,1,75,240,8,9,0.1,30,,,,,,
Waldroff salad,1 serving,,141.75,1.47,10.05,1.87,11.02,8.23,13.42,29.29,1.07,21.43,40.62
Walnut chutney (Akhrot ki chutney),1 serving,,370.43,9.44,33.46,3.04,8.91,4.4,160,119.57,1.77,1.33,4.63
Walnuts,1/2 cup,50,325,7,32,1,8,,,,,,
Washed moong dal (Dhuli moong ki dal),1 serving,,50,2.68,1.68,1.17,5.91,0.12,150.64,8.48,0.64,0.04,27.98
Washed urad dal (Dhuli urad ki dal),1 serving,,61.32,2.51,2.98,1.53,5.84,0.32,142.21,10.24,0.72,0.99,30.4
Watercress sandwich,1 serving,,229.42,5.17,11.47,2.26,28.03,1.81,407.44,98.16,0.99,2.23,12.14
"Watercress stems, raw",1 cup,50,9,1,0,0.3,1,,,,,,
Watermelon,1 wedge,925,120,2,1,3.6,29,,,,,,
Wheat (whole),1 cup,120,390,13,2,2.8,79,,,,,,
Wheat and gram flour ladoo (Atta besan ladoo),1 serving,,501.7,9.38,29.86,6.01,50.5,18.46,27.06,35.27,2.39,0,14.55
Wheat cake,1 serving,,314.63,4.79,14.95,2.76,41.13,25.79,82.96,98.91,1.08,0.76,7.6
Wheat flakes,1 serving,,112.44,3.62,3.99,0.37,15.57,7.28,22.4,103.15,0.62,4.82,19.41
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),1 serving,,441.08,9.84,18.41,6.02,60,31.12,5.25,25.2,2.3,0,9.07
Wheat flour and nuts ladoos (Atta nuts ladoos),1 serving,,391.9,9.46,19.19,7.3,44.31,15.94,8.07,127.29,4.01,0,13.1
Wheat germ,1 cup,68,245,17,7,2.5,34,,,,,,
Wheat meal cereal unrefined,3/4 cup,30,103,4,1,0.7,25,,,,,,
"Wheat, cooked",3/4 cup,200,275,12,1,4.4,35,,,,,,
"Wheat, pancakes 4"" diam.",4,108,250,7,9,0.1,28,,,,,,
Wheat-germ cereal toasted,1 cup,65,260,20,7,2.5,36,,,,,,
Whey soup,1 serving,,68.91,3.45,3.34,0.84,6.26,5.87,87.08,164.92,0.55,2.55,33.72
White,1 cup,191,692,14,0,0.3,150,,,,,,
White sauce (thin),1 serving,,115.17,3.31,8.41,0.07,6.58,4.58,23.91,110.2,0.19,,
White stock,1 serving,,6.99,0.07,0.56,0.17,0.4,0.24,1.56,1.58,0.03,2.58,10.58
"White, 20 slices, or",1-lb. loaf,454,,39,15,9,229,,,,,,
Whole masoor (Masoor ki dal),1 serving,,54.05,2.28,2.52,1.98,5.37,0.67,123.72,12.2,0.95,11.04,48.17
Whole moong (Moong ki dal),1 serving,,53.7,2.25,2.56,2.02,5.22,0.59,123.86,13.58,0.68,11.04,55.37
Whole moth (Moth ki dal),1 serving,,55,2.01,2.62,1.85,5.74,0.66,125.08,18.98,0.95,11.04,116.57
Whole urad (Urad ki dal),1 serving,,53.8,2.21,2.62,2.32,5.05,0.57,126.12,13.07,0.78,10.28,51.6
Whole-wheat,1 slice,23,55,2,1,0.31,11,,,,,,
Wines,1/2 cup,120,164,0,0,0,9,,,,,,
"Winter, mashed",1 cup,200,95,4,0,2.6,23,,,,,,
with tomatoes and cheese,1 cup,250,210,6,5,0.5,36,,,,,,
Woodapple juice (Bel ka sharbat),1 serving,,34.18,0.63,0.7,1.03,6.51,5.75,127.45,11.85,0.12,18.36,5.65
Yam fried (Zimikand/Suran fried),1 serving,,491.76,0.79,51.79,1.44,5.47,0.8,37.07,8.11,0.43,30.3,35.57
Yam kofta curry (Zimikand/Suran kofta curry),1 serving,,322.88,0.71,33.84,1.04,3.75,0.63,42.22,8.35,0.31,36.07,43.47
Yolks,2,34,120,6,10,0,0,,,,,,
